sku,identidade_antes,identidade_depois,conflito_antes,conflito_depois,motivos_antes,motivos_depois,avisos,vinculo,fila,regra
VTK018562,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK026052,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK005849,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018417,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK012894,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018798,IDENTIDADE_DIVERGENTE,IDENTIDADE_COHERENTE,CONFLITO_CONFIRMADO,SEM_CONFLITO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK017306,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK012944,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PRONTOS_PARA_ANALISE,M2M-IDENTITY-v2.1
VTK023554,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018671,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
