"sku","produto_id","motivo","evidencia"
"VTK025954","ce4f6ff7-d00f-4a17-96bd-044d42060414","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_BRAND_CONFLICT:ml-p0-phase6c/VTK025954/summary.json"
"VTK005775","ce5d444a-08a2-43c0-80c1-044a25d139f8","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6c/VTK005775/summary.json"
"VTK026008","d1b1a836-e25b-4306-8e37-f50777572a40","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6b/VTK026008/summary.json"
"VTK017155","d2d6e7ab-506e-49a2-b3ec-26944f675dc5","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6c/VTK017155/summary.json"
"VTK012362","d324cdae-edbc-4339-993d-5221668cb0dc","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REMOTE_DUPLICATE:ml-p0-phase6d/VTK012362/summary.json"
"VTK025548","d4d63d7b-e9a4-4dd7-83ef-1417845b3f54","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK017668","d84b7ace-189f-4ab8-8f7c-9292491e5b9c","REMOTE_LINK_REVIEW","{""sku"":""VTK017668"",""state"":""BLOCK_DUPLICATE"",""source"":""phase3"",""item_ids"":[""MLB7087416462"",""MLB7137214452""]}"
"VTK001187","d9930b7b-c377-4f02-8e24-9f36c3d78f1e","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001187/summary.json"
"VTK025859","db60565c-b045-4d99-acf7-bc7d81b12f95","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6c/VTK025859/summary.json"
"VTK018522","dc1632af-808a-4acd-bfb2-ac85add0ea3a","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_PROTECTIVE_PRICE_ENGINE:ml-p0-phase6d/VTK018522/summary.json"
"VTK018428","dcb99854-65d0-487e-bde0-29e63e2bc630","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018428/summary.json"
"VTK001286","de045a9f-a54e-454d-8c71-6ad50a201b1f","EXCLUDED_BY_HISTORICAL_LEDGER","CATEGORY_MISMATCH:ml-p0-phase3/full-report.json"
"VTK001089","de613369-7204-430c-aa4a-c0ddf6a7a31d","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6c/VTK001089/summary.json"
"VTK025588","dea3e168-4690-42d9-97e9-68e740a95ac8","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK015922","e1ebc8f3-13a7-47a4-bac2-394abbf07c36","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK017848","e666735c-5699-4787-9273-2e2be34c872a","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6c/VTK017848/summary.json"
"VTK018446","e759a24c-52f8-4d87-98d5-4166efd87c42","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018446/summary.json"
"VTK018077","e7e76e6e-649f-4e31-9369-6875f254f206","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018077/summary.json"
"VTK017215","e854a49a-deb0-4714-8aed-425c4fdbe378","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK017215/summary.json"
"VTK026048","e87b83ee-c4e4-476a-8e7b-6900c7f86a87","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN:ml-p0-phase6b/VTK026048/summary.json"
"VTK016217","e92f6915-7ced-4c5f-95ad-94d4a02a2500","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025999","ee3c30fc-cd5c-423c-b32e-caca8ddd0dcc","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6a/VTK025999/summary.json"
"VTK001195","f0635871-89a2-4e66-a415-02ac568622b6","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001195/summary.json"
"VTK025547","f0a4e378-7462-4642-9d6e-8de79f71c495","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK018449","f14e83a0-cb35-42ff-ac02-1d46f738ba75","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018449/summary.json"
"VTK019033","f19c8241-8886-48f5-a842-2ac4093ac43d","REMOTE_LINK_REVIEW","{""sku"":""VTK019033"",""state"":""BLOCK_DUPLICATE"",""source"":""phase3"",""item_ids"":[""MLB4837734679"",""MLB4841872479""]}"
"VTK025569","f2a44ac6-751f-40cf-ac5e-efe29b493dd5","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000092","f33be404-0036-4761-80c6-4dd0219a4208","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6c/VTK000092/summary.json"
"VTK025536","f375ba17-8da9-4335-ba43-de31cf2a441d","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
