sku,pricing_group_id,origin_ml_item_id,ml_item_ids,current_price,experimental_price,sync_confirmed
VTK012429,VTK012429|MLB66545754,MLB7111649042,"[""MLB7317385518"",""MLB7111649042""]",102.95,88.88,true
VTK012193,VTK012193|MLB22908463,MLB7111661936,"[""MLB7111661936"",""MLB4880564265""]",92.77,82.65,true
VTK001035,VTK001035|MLB21435137,MLB7087130184,"[""MLB7087130184"",""MLB7095325368""]",115.2,103.39,true
VTK001818,VTK001818|MLB24118613,MLB7111664264,"[""MLB4880563851"",""MLB7111664264""]",82.58,66.19,true
VTK000367,VTK000367|MLB23055399,MLB7087038554,"[""MLB7087038554"",""MLB7101696502""]",113.23,101.42,true
VTK012165,VTK012165|MLB25951626,MLB7111710188,"[""MLB4880561835"",""MLB7111710188""]",57,51.26,true
VTK000399,VTK000399|MLB70090803,MLB7111708266,"[""MLB7111708266"",""MLB7314824296""]",80.8,64.56,true
VTK000505,VTK000505|MLB19675702,MLB7009337154,"[""MLB7149264172"",""MLB7009337154""]",115.65,104.66,true
VTK012426,VTK012426|MLB28374362,MLB7111651960,"[""MLB7149332484"",""MLB7111651960""]",63,57.09,true
VTK012538,VTK012538|MLB25951807,MLB7111664224,"[""MLB4880563883"",""MLB7111664224""]",63,57.09,true
VTK017221,VTK017221|MLB74922157,MLB4937384547,"[""MLB7298177250"",""MLB4937384547""]",63,56.64,true
VTK012428,VTK012428|MLB24311607,MLB7111649586,"[""MLB4882855415"",""MLB7111649586""]",85.56,70.26,true
VTK000009,VTK000009|MLB21348828,MLB4772557417,"[""MLB4772557417"",""MLB4786778733""]",115.06,104.65,true
VTK000390,VTK000390|MLB25516654,MLB4841998927,"[""MLB4841998927"",""MLB7095340348""]",119.53,109.01,true
VTK012491,VTK012491|MLB27389089,MLB4857541933,"[""MLB7149405296"",""MLB4857541933""]",145.5,131.83,true
VTK017329,VTK017329|MLB36002261,MLB4937480137,"[""MLB4981702537"",""MLB4937480137""]",64,57.93,true
VTK012105,VTK012105|MLB29349007,MLB7111716030,"[""MLB4880526015"",""MLB7111716030""]",25.94,23.69,true
VTK012368,VTK012368|MLB22742946,MLB7111651800,"[""MLB4880585645"",""MLB7111651800""]",69,63.1,true
VTK012516,VTK012516|MLB27578504,MLB7111658060,"[""MLB7149329698"",""MLB7111658060""]",107.82,95.65,true
VTK012347,VTK012347|MLB36425561,MLB7111708152,"[""MLB4880581029"",""MLB7111708152""]",70,64.4,true
VTK012438,VTK012438|MLB24911012,MLB7111661928,"[""MLB7313979446"",""MLB7111661928""]",89.33,82.06,true
VTK012788,VTK012788|MLB25233515,MLB7111649230,"[""MLB4880586031"",""MLB7111649230""]",91.6,84.8,true
VTK012296,VTK012296|MLB24347328,MLB7111661598,"[""MLB4880582419"",""MLB7111661598""]",89.68,83.15,true
VTK012566,VTK012566|MLB39929514,MLB7111649152,"[""MLB7111649152"",""MLB7149333140""]",97.74,90.57,true
VTK018239,VTK018239|MLB26849182,MLB4937384359,"[""MLB4942184227"",""MLB4937384359""]",69,63.72,true
VTK012125,VTK012125|MLB22619152,MLB7111657728,"[""MLB4880565027"",""MLB7111657728""]",129.44,117.16,true
VTK000474,VTK000474|MLB27376303,MLB4842009627,"[""MLB4842009627"",""MLB7095391988""]",144.48,133.32,true
VTK012560,VTK012560|MLB27728295,MLB7111706684,"[""MLB7317387488"",""MLB7111706684""]",115.07,107.05,true
VTK001736,VTK001736|MLB32422506,MLB7239009906,"[""MLB4942204387"",""MLB7239009906""]",67,62.1,true
VTK000010,VTK000010|MLB21478839,MLB7076175412,"[""MLB7086773016"",""MLB7076175412""]",131.7,122.88,true
VTK003981,VTK003981|MLB22338422,MLB7111645008,"[""MLB7320341490"",""MLB7111645008""]",131.71,122.31,true
