sku,pricing_group_id,product_id,product_name,ml_item_ids,origin_ml_item_id,title,current_price,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,supplier_cost,fee_amount,shipping_amount,tax_rate,visits_30d,visits_90d,visits_150d,sales_30d,sales_90d,sales_150d,stock,price_to_win,catalog_synchronized_pair,sync_confirmed
VTK003622,VTK003622|MLB25948660,33334165-274c-4593-b93c-c9aac927c63c,Cabo HDMI 4K C/ Filtro 3m CBHM0018 Preto STORM,"[""MLB4857624585"",""MLB7149339142""]",MLB4857624585,Cabo Hdmi 4k C/ Filtro 3m Cbhm0018 Preto Storm,57.39,18.12,31.569,37.74,2.65,7.019,7.000000000000001,14.11,4.91,12.95,0.082799,0,1,1,0,0,0,5,27.79,true,true
VTK002662,VTK002662|MLB7111713358,90ac7403-7dc0-4078-bf0a-454d3251dbea,Garra de Jacaré 10cm 50A Vermelho Storm - PCT / 50,"[""MLB7111713358""]",MLB7111713358,Garra Jacaré Storm 10cm 50a Vermelha 50 Unidades,57.81,18.11,31.3202,38.48,2.7,7.007,7.000000000000001,15.03,4.62,12.95,0.082799,2,5,5,0,0,0,5,0,false,true
VTK002681,VTK002681|MLB7111713364,af5d6d4e-e3ae-4e41-a861-733e2ed83509,Garra de Jacaré 10cm 50A Preto Storm - PCT / 50,"[""MLB7111713364""]",MLB7111713364,Garra Jacaré Storm 10cm 50a Preta 50 Unidades,57.81,18.11,31.3202,38.48,2.7,7.007,7.000000000000001,15.03,4.62,12.95,0.082799,0,4,4,0,0,0,4,0,false,true
VTK002271,VTK002271|MLB22490340,b4cbdc24-6b77-44d9-a2f6-dfb04f0913ec,"Cabo de Dados USB 3.0 A Macho x USB 3.0 A Macho 1,8m Preto Storm","[""MLB4880591245"",""MLB4857635411""]",MLB4857635411,"Cabo De Dados Usb 3.0 1,8m Cbus0011 Storm Preto",57.87,18.11,31.2862,38.28,2.68,7.0116,7.000000000000001,14.5,4.98,12.95,0.082799,0,1,1,0,0,0,23,28.93,true,true
VTK017397,VTK017397|MLB4981504717,054e7b91-653d-4f52-b332-1ca9da3994af,Trava Elétrica Roadstar 2 Fios Individual - Rs101br,"[""MLB4981504717""]",MLB4981504717,Trava Elétrica Roadstar 2 Fios Individual - Rs101br,58.67,18.09,30.8305,38.03,2.67,7.0104,7.000000000000001,11.9,6.47,13.85,0.082799,5,5,5,0,0,0,50,0,false,true
VTK003213,VTK003213|MLB57351740,244e8ffe-eeab-44db-a20f-8471f81d265c,Bateria Alcalina 9V (C/1 Bateria) Panasonic,"[""MLB7149371848"",""MLB4857637215""]",MLB4857637215,Bateria Alcalina 9v - 6lf22xab/1b24 Panasonic,53.9,16.58,30.7628,35.79,2.51,7.002,7.000000000000001,12.36,5.01,12.95,0.082799,1,1,1,0,0,0,100,16.84,true,true
VTK017244,VTK017244|MLB4994943971,72ead0c9-8e4f-483a-9444-e586d8989844,Video Balun Evus C-067 1 Canal Mini Cctv Bnc Para Hdcvi Cftv,"[""MLB4994943971""]",MLB4994943971,Video Balun Evus C-067 1 Canal Mini Cctv Bnc Para Hdcvi Cftv,55.46,17.03,30.6981,35.77,2.51,7.0162,7.000000000000001,10.91,6.44,12.95,0.082799,4,4,4,0,0,0,50,0,false,true
VTK001624,VTK001624|MLB21603461,474bf3a7-11cb-4722-9e6c-7865258bc83c,Cabo VGA HDB15M x HDB15M 3 MT Preto Com Filtro Storm,"[""MLB7313979440"",""MLB4857636931""]",MLB4857636931,Cabo Vga Macho Para Macho Storm De 3 Metros Com Filtro,58.9,18.07,30.6726,39.46,2.76,7.0019,7.000000000000001,15.35,5.13,12.95,0.082799,0,0,0,0,0,0,7,28.52,true,true
VTK001652,VTK001652|MLB4857624501,8f66d490-f0a5-4684-80a9-68c591a889f4,"Plug RCA Niquelado Com Mola 3FX 5,8mm Preto Genérico - PCT / 10","[""MLB4857624501""]",MLB4857624501,"Plug Rca Niquelado Com Mola 3fx 5,8mm Preto Genérico Storm",59.43,18.05,30.3775,40.06,2.81,7.0027,7.000000000000001,14.88,5.21,13.85,0.082799,2,2,2,0,0,0,10,0,false,true
VTK017853,VTK017853|MLB32476732,cf4db9d3-9c48-4345-9613-127ac5f81455,Cartela Super Cola Instantânea Western 3g 12 Unidade,"[""MLB7381240378"",""MLB4994952921""]",MLB4994952921,Kit C/ 12 Super Cola Universal Western Bond,61.19,18.58,30.3598,40.24,2.82,7.0044,7.000000000000001,14.5,6.64,12.95,0.082799,2,2,2,0,0,0,19,0,true,true
