sku,pricing_group_id,product_name,ml_item_ids,exclusion_reasons,current_price,current_margin_pct,visits_150d,sales_150d,has_promotion,has_quantity_pricing,has_ml_price_automation,evidence
VTK012714,VTK012714|MLB73771565,"Cabo P10 Prowire Tweed Preto 3,05m (10ft) Wireconex","[""MLB7111664004"",""MLB4898613341""]","[""EXCLUIDO_ANUNCIO_NAO_ATIVO""]",,,,,,,,{}
VTK003109,VTK003109|MLB7111645478,Conector Cannon Fêmea 3 Polos Metal JCCN0017 Storm - PCT / 10,"[""MLB7111645478""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",108.41,12.9513,9,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012493,VTK012493|MLB24402672,Correia Qs 04 Preto Basso,"[""MLB7111661588"",""MLB7149329432""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",89.44,12.823,14,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7149329432""]},""offer_source"":""automatic"",""target_error"":null}"
VTK003675,VTK003675|MLB7111661804,Plug P10 Mono 90º Metal Ponta Gold Storm - PCT / 10,"[""MLB7111661804""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",89.5,12.8095,8,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012056,VTK012056|MLB7111649436,"Cabo Extensão Fone De Ouvido Phc05 P10 1/4 Trs X P2 3,5 Wireconex","[""MLB7111649436""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",78.9,12.7296,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK009683,VTK009683|MLB39074483,Capa Protetora Para Violão Preta Thomaz,"[""MLB4786778603"",""MLB4772728821""]","[""EXCLUIDO_ANUNCIO_NAO_ATIVO""]",,,,,,,,{}
VTK005803,VTK005803|MLB71699940,Mangueira Látex 13 Metros KM215CA Azul Kepper,"[""MLB4857530911"",""MLB7313984006""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",140.31,12.5375,14,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7313984006""]},""offer_source"":""automatic"",""target_error"":null}"
VTK012477,VTK012477|MLB7111648848,Cabo Flat Para Pedal Emborrachado 6 Polegadas Wireconex,"[""MLB7111648848""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",112.74,12.3284,22,2,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012611,VTK012611|MLB4937865089,Breu Vr200 Claro D Addario,"[""MLB4937865089""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",63,12.2995,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012120,VTK012120|MLB69000973,Conector Xlr Macho Wc 1033 10 Unidades Painel Wireconex,"[""MLB5079124731"",""MLB7145205372""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",114.45,12.1845,8,1,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7145205372""]},""offer_source"":""automatic"",""target_error"":null}"
