ml_item_id,sku,produto_id,avaliacao_id,preco,cmv,componentes,tarifa,origem_tarifa,frete,origem_frete,tributo_aliquota,tributo_status,resultado,margem,piso,alvo,limite,status,pendencias,regra,avaliado_em
MLB7238889442,VTK000585,d48054f1-8ad9-470a-a00a-79ac81a4aa8e,df7019b1-0aef-42a4-9cd7-89489e62d30c,110.13,35.9,"[{""productId"": ""d48054f1-8ad9-470a-a00a-79ac81a4aa8e"", ""offerId"": ""59fbe872-b30f-4020-9d54-2163c39c0787"", ""supplierId"": ""133"", ""unitCost"": 35.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:42:16.18+00:00""}]",19.82,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:44:06.076Z
MLB7381674860,VTK017980,d8263926-b944-4847-9b7f-ace42c2f5dcf,17823d72-3f85-4002-995d-b51ddb38d4b9,115.26,39.9,"[{""productId"": ""d8263926-b944-4847-9b7f-ace42c2f5dcf"", ""offerId"": ""832d0d81-2f90-431c-b6e2-1217c56579b6"", ""supplierId"": ""133"", ""unitCost"": 39.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:47:16.203+00:00""}]",19.59,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:08.101Z
MLB7381240556,VTK000980,bb7cec2f-9a63-4053-9821-78f611c0c726,0436af30-441d-4d98-a17e-1a63730d6067,219,,null,39.42,ml_live,50.75,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:10.087Z
MLB5034787395,VTK017631,7bfebc32-b761-4e70-8cca-958317adb165,f709b771-bece-4640-b605-7394621e6024,93.46,22.9,"[{""productId"": ""7bfebc32-b761-4e70-8cca-958317adb165"", ""offerId"": ""ae1d3c72-abed-49c4-af95-7627a0767471"", ""supplierId"": ""133"", ""unitCost"": 22.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:39:34.295+00:00""}]",15.89,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:12.594Z
MLB7390923456,VTK000021,2d01d838-97d2-4d70-816a-4eafef68c286,a3d8b452-11a6-4f0e-b4c9-031f279102f8,279.27,160.9,"[{""productId"": ""2d01d838-97d2-4d70-816a-4eafef68c286"", ""offerId"": ""40d30b11-505f-45d1-899e-846faeb7be61"", ""supplierId"": ""133"", ""unitCost"": 160.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:44:32.769+00:00""}]",50.27,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:18.705Z
MLB5048998307,VTK000585,d48054f1-8ad9-470a-a00a-79ac81a4aa8e,66539086-a1fc-4ffb-8df6-eefa8008fc8d,110.13,35.9,"[{""productId"": ""d48054f1-8ad9-470a-a00a-79ac81a4aa8e"", ""offerId"": ""59fbe872-b30f-4020-9d54-2163c39c0787"", ""supplierId"": ""133"", ""unitCost"": 35.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:42:16.18+00:00""}]",19.82,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:21.227Z
MLB5048998203,VTK004716,2d3c2932-8844-4fd5-9727-2a80d82b3c5a,c73e67bf-15f9-447d-a90d-fe7f5d78a149,102.44,29.9,"[{""productId"": ""2d3c2932-8844-4fd5-9727-2a80d82b3c5a"", ""offerId"": ""ea0a1431-ae60-4dbf-857c-534202041eab"", ""supplierId"": ""133"", ""unitCost"": 29.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:54:23.934+00:00""}]",18.44,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:21.226Z
MLB7510665990,VTK001026,3f549ed1-c4fa-49d4-8eff-e69b905095cf,dae3e409-8db8-4378-83a2-97f46b859e7e,140.96,59.95,"[{""productId"": ""3f549ed1-c4fa-49d4-8eff-e69b905095cf"", ""offerId"": ""871ff6e5-adf9-43ae-ab7c-b8c3f57f39eb"", ""supplierId"": ""133"", ""unitCost"": 59.95, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:46:19.333+00:00""}]",25.37,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:28.431Z
MLB6565184970,VTK006348,703f9380-1ad6-4ee8-9f7c-9058f7f03c1d,270ce7fd-78b5-469b-8829-973843a7e64a,223.92,,null,40.31,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:33.525Z
MLB6564925448,VTK000967,9178b6f9-d4a7-4f13-8e68-7c788d36d84f,a40e372c-5f1f-4a75-a613-16c1afa9a211,259,,null,46.62,ml_live,45.25,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:33.902Z
MLB6564925380,VTK000943,4395e4d8-aded-4d05-8843-c31a58ffb712,a04c4deb-b4b6-48f9-9a7f-179d361b85dc,318.1,,null,57.26,ml_live,50.75,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:33.900Z
MLB6564912582,VTK000854,954bdb37-d08e-40f3-b0b6-c285c27390a3,d92767b2-04de-42da-9a13-f368c9a573fc,365.42,,null,65.78,ml_live,29.25,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:33.901Z
MLB6564912558,VTK000981,c26f3caf-73d3-4aaf-9ebf-ebb2a4b03b5d,4f81693f-25ba-49ca-9eff-9f142740a143,657.35,,null,118.32,ml_live,69.35,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:33.903Z
MLB6563575262,VTK000420,270c5590-a626-4368-8821-0b457cac9a8d,7e6411f2-c013-43bf-be9c-88a141f0da3d,490,,null,78.4,ml_live,25.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.546Z
MLB6563508730,VTK000917,22be3bbb-10d8-4919-91c0-51381e49124c,fb5a988b-c27f-4d3c-9e9b-2eb647455082,234.87,,null,42.28,ml_live,21.65,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.302Z
