ml_item_id,sku,status,pricing_group_id,preco_unitario,acao,faixas_json,observado_em
MLB4585868757,VTK005449,active,ml:MLB4585868757:MLB4612598629,230.23,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""21"", ""type"": ""standard"", ""amount"": 223.32, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:07Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""22"", ""type"": ""standard"", ""amount"": 221.02, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:07Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""23"", ""type"": ""standard"", ""amount"": 218.72, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:07Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.179Z
MLB4612598629,VTK005449,active,ml:MLB4585868757:MLB4612598629,230.23,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""13"", ""type"": ""standard"", ""amount"": 223.32, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:08Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""14"", ""type"": ""standard"", ""amount"": 221.02, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:08Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""15"", ""type"": ""standard"", ""amount"": 218.72, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:45:08Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.179Z
MLB6646506832,VTK000800,active,ml:MLB4585881731:MLB6646506832,219,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""13"", ""type"": ""standard"", ""amount"": 212.43, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:49Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""14"", ""type"": ""standard"", ""amount"": 210.24, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:49Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""15"", ""type"": ""standard"", ""amount"": 208.05, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:49Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.361Z
MLB6655134252,VTK001232,active,ml:MLB6563424768:MLB6655134252,343.13,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""10"", ""type"": ""standard"", ""amount"": 332.84, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-20T00:02:28Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""11"", ""type"": ""standard"", ""amount"": 329.4, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-20T00:02:28Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""12"", ""type"": ""standard"", ""amount"": 325.97, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-20T00:02:28Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.378Z
MLB6681942972,VTK006293,active,ml:MLB6573116426:MLB6681942972,1770,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""28"", ""type"": ""standard"", ""amount"": 1716.9, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""29"", ""type"": ""standard"", ""amount"": 1699.2, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""30"", ""type"": ""standard"", ""amount"": 1681.5, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.391Z
MLB6957770878,VTK009673,active,ml:MLB4786789421:MLB6957770878,192.13,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""3"", ""type"": ""standard"", ""amount"": 257, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-12T23:58:12Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""4"", ""type"": ""standard"", ""amount"": 254.35, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-12T23:58:12Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""5"", ""type"": ""standard"", ""amount"": 251.7, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-12T23:58:12Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.550Z
MLB4773205281,VTK009701,active,ml:MLB4773205281:MLB4818724919,1890,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""19"", ""type"": ""standard"", ""amount"": 1795.5, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:10:37Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}, {""id"": ""20"", ""type"": ""standard"", ""amount"": 1833.3, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:10:37Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""21"", ""type"": ""standard"", ""amount"": 1814.4, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:10:37Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}]",2026-09-06T03:11:05.876Z
MLB4773203279,VTK009693,active,ml:MLB4773203279:MLB4786765399,977,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""32"", ""type"": ""standard"", ""amount"": 947.69, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-31T05:06:40Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""33"", ""type"": ""standard"", ""amount"": 937.92, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-31T05:06:40Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""34"", ""type"": ""standard"", ""amount"": 928.15, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-31T05:06:40Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.884Z
MLB4773181121,VTK009698,active,ml:MLB4773181121:MLB4818724579,1029,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""12"", ""type"": ""standard"", ""amount"": 998.13, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-30T04:55:47Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""13"", ""type"": ""standard"", ""amount"": 987.84, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-30T04:55:47Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""14"", ""type"": ""standard"", ""amount"": 977.55, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-30T04:55:47Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.891Z
MLB4773180493,VTK009697,active,ml:MLB4773180493:MLB7210717968,102.94,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""3"", ""type"": ""standard"", ""amount"": 136.23, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-13T00:20:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""4"", ""type"": ""standard"", ""amount"": 134.82, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-13T00:20:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""5"", ""type"": ""standard"", ""amount"": 133.42, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-06-13T00:20:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.903Z
