ml_item_id,sku,current_category,current_domain,target_category,target_domain,target_source,viability,missing_required,patch_attributes
MLB6573141820,HYX85016,MLB421298,MLB-AUDIO_AND_VIDEO_CONVERTERS,MLB7463,MLB-CELLPHONE_ACCESSORIES,ml_and_local_agree,can_switch,,
MLB4585881731,HYX83833,MLB11507,MLB-SPEAKERS,,,,needs_manual_choice,,
MLB4620396985,HYX87585,MLB188429,MLB-CRIMPING_PLIERS,,,,needs_manual_choice,,
MLB6563284802,HYX86272,MLB3577,MLB-LAPTOP_CHARGERS,,,,needs_manual_choice,,
MLB4582553613,HYX76380,MLB270480,MLB-ISOPROPYL_ALCOHOL,,,,needs_manual_choice,,
MLB6723876836,ATC-COMP180W,MLB63533,MLB-AIR_COMPRESSORS,MLB12549,MLB-ELECTRIC_AIR_PUMPS,ml_only,blocked,POWER_SUPPLY_TYPE,
