sku,ml_item_id,produto,status,preco,quantidade_baseline,margem,piso,resultado_unitario,economia_status,garantia,confirmado_em,D7,D15,D30,url,coorte,quantidade_encerramento,capacidade_segura_encerramento,buy_box_status,price_to_win,buy_box_fonte_status
VTK018404,MLB5192489303,Calculadora De Mesa Truly T882 12 Dígitos Cor Preto,active,92.68,2,0.060315062580923604,0.05,5.59,estimated,12 meses de fábrica,2026-09-05T20:53:48.740Z,2026-09-12T20:53:48.740000+00:00,2026-09-20T20:53:48.740000+00:00,2026-10-05T20:53:48.740Z,https://produto.mercadolivre.com.br/MLB-5192489303-calculadora-de-mesa-truly-t882-12-digitos-cor-preto-_JM,RADAR_LAUNCH_2026_09_COHORT_01,4,4,not_listed,,200
VTK017249,MLB5192488569,Splitter Optico 1x2 Sc/upc Xfs121 Plc,active,70.08,2,0.07006278538812785,0.05,4.91,estimated,12 meses de fábrica,2026-09-05T20:53:27.958Z,2026-09-12T20:53:27.958000+00:00,2026-09-20T20:53:27.958000+00:00,2026-10-05T20:53:27.958Z,https://produto.mercadolivre.com.br/MLB-5192488569-splitter-optico-1x2-scupc-xfs121-plc-_JM,RADAR_LAUNCH_2026_09_COHORT_01,50,50,not_listed,,200
VTK026052,MLB5192489345,Microfone Condensador Com Tripé De Mesa Para Computador Cor Preto,active,93.92,2,0.07005962521294719,0.05,6.58,estimated,12 meses de fábrica,2026-09-05T20:59:22.967Z,2026-09-12T20:59:22.967000+00:00,2026-09-20T20:59:22.967000+00:00,2026-10-05T20:59:22.967Z,https://produto.mercadolivre.com.br/MLB-5192489345-microfone-condensador-com-tripe-de-mesa-para-computador-cor-preto-_JM,RADAR_LAUNCH_2026_09_COHORT_01,2,9,not_listed,,200
VTK018319,MLB7594387528,Esmerilhadeira Angular Multilaser Fe048 700w 127v Cinza,active,258.72,2,0.10582869511440939,0.07,27.38,estimated,12 meses de fábrica,2026-09-05T20:51:10.604Z,2026-09-12T20:51:10.604000+00:00,2026-09-20T20:51:10.604000+00:00,2026-10-05T20:51:10.604Z,https://produto.mercadolivre.com.br/MLB-7594387528-esmerilhadeira-angular-multilaser-fe048-700w-127v-cinza-_JM,RADAR_LAUNCH_2026_09_COHORT_01,6,6,not_listed,,200
VTK017481,MLB7594388458,Cabo Rca Mxt Profissional Blindado 2 Rca+2 Rca Azul 4mm/ 5m,active,47.49,2,0.07012002526847758,0.05,3.33,estimated,12 meses de fábrica,2026-09-05T20:53:41.879Z,2026-09-12T20:53:41.879000+00:00,2026-09-20T20:53:41.879000+00:00,2026-10-05T20:53:41.879Z,https://produto.mercadolivre.com.br/MLB-7594388458-cabo-rca-mxt-profissional-blindado-2-rca2-rca-azul-4mm-5m-_JM,RADAR_LAUNCH_2026_09_COHORT_01,15,15,not_listed,,200
VTK026044,MLB7594388436,Mouse Sem Fio Msi50 Intelbras Preto,active,73.7,2,0.0700135685210312,0.05,5.16,estimated,12 meses de fábrica,2026-09-05T20:53:34.868Z,2026-09-12T20:53:34.868000+00:00,2026-09-20T20:53:34.868000+00:00,2026-10-05T20:53:34.868Z,https://produto.mercadolivre.com.br/MLB-7594388436-mouse-sem-fio-msi50-intelbras-preto-_JM,RADAR_LAUNCH_2026_09_COHORT_01,50,50,500,,500
VTK005849,MLB5192503807,Esguicho Kepper Em Aluminio 30cm Azul,active,76.28,2,0.07000524383848977,0.05,5.34,estimated,12 meses de fábrica,2026-09-05T21:00:45.921Z,2026-09-12T21:00:45.921000+00:00,2026-09-20T21:00:45.921000+00:00,2026-10-05T21:00:45.921Z,https://produto.mercadolivre.com.br/MLB-5192503807-esguicho-kepper-em-aluminio-30cm-azul-_JM,RADAR_LAUNCH_2026_09_COHORT_01,2,7,not_listed,,200
VTK018417,MLB5192491275,Capotraste Braçadeira Guitarra E Violão Aço E Nylon Preto Preto,active,32.32,2,0.07023514851485149,0.05,2.27,estimated,12 meses de fábrica,2026-09-05T21:00:53.174Z,2026-09-12T21:00:53.174000+00:00,2026-09-20T21:00:53.174000+00:00,2026-10-05T21:00:53.174Z,https://produto.mercadolivre.com.br/MLB-5192491275-capotraste-bracadeira-guitarra-e-violo-aco-e-nylon-preto-preto-_JM,RADAR_LAUNCH_2026_09_COHORT_01,9,9,not_listed,,200
