"SKU";"Produto";"Categoria ML";"Atributos obrigatórios";"GTIN obrigatório";"Status"
"VTK015972";"12 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (6 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015973";"12 Pilhas Recarregaveis Eneloop Std Aa Panasonic (6 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015974";"12 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (6 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015975";"14 Pilhas Alcalinas Aa Panasonic (7 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015976";"14 Pilhas Alcalinas Aaa Panasonic (7 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015977";"14 Pilhas Alcalinas C Panasonic (7  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015978";"14 Pilhas Alcalinas D Panasonic (7  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015979";"14 Pilhas Alcalinas Premium Aa Panasonic (7 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015980";"14 Pilhas Alcalinas Premium Aaa Panasonic (7 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015981";"14 Pilhas Comum D Panasonic (7 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015982";"14 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (7 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015983";"14 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (7 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015984";"14 Pilhas Recarregaveis Eneloop Std Aa Panasonic (7 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015985";"14 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (7 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015990";"15 Baterias Cr2025 Panasonic (3 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015991";"15 Baterias Cr2032 Panasonic (3 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015992";"150 Pilhas Baterias Cr2032 3v Panasonic 30 Cartelas";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015993";"16 Pilhas Alcalinas Aa Panasonic (4 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015994";"16 Pilhas Alcalinas Aa Panasonic (8 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015995";"16 Pilhas Alcalinas Aaa Panasonic (4 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015996";"16 Pilhas Alcalinas Aaa Panasonic (8 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015997";"16 Pilhas Alcalinas C Panasonic (8  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015998";"16 Pilhas Alcalinas D Panasonic (8  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015999";"16 Pilhas Alcalinas Premium Aa Panasonic (4 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016000";"16 Pilhas Alcalinas Premium Aa Panasonic (8 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016001";"16 Pilhas Alcalinas Premium Aaa Panasonic (4 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016002";"16 Pilhas Alcalinas Premium Aaa Panasonic (8 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016003";"16 Pilhas Comum Aa Panasonic (2 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016004";"16 Pilhas Comum Aa Panasonic (4 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016005";"16 Pilhas Comum Aaa Panasonic (2 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016006";"16 Pilhas Comum Aaa Panasonic (4 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016007";"16 Pilhas Comum D Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016008";"16 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016009";"16 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016010";"16 Pilhas Recarregaveis Eneloop Std Aa Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016011";"16 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016012";"18 Pilhas Alcalinas Aa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016013";"18 Pilhas Alcalinas Aa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016014";"18 Pilhas Alcalinas Aaa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016015";"18 Pilhas Alcalinas Aaa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016016";"18 Pilhas Alcalinas C Panasonic (9  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
