"sku","mlb","origem","warranty_source","warranty_type","warranty_duration","warranty_unit","fonte","evidencia_em","politica"
"VTK002091","MLB5193194293","GARANTIA_FORNECEDOR","supplier","seller","90","days","DSLite /v1/CrossDocking/Catalogo/133/229915:tempo_garantia; inspection.json","2026-09-06T04:52:33.688Z","VORTEK-WARRANTY-2026-09-06-SELLER-30"
"VTK018523","MLB7595130266","GARANTIA_FORNECEDOR","supplier","seller","90","days","DSLite /v1/CrossDocking/Catalogo/133/252568:tempo_garantia; inspection.json","2026-09-06T04:52:39.381Z","VORTEK-WARRANTY-2026-09-06-SELLER-30"
