"sku","mlb","status","preco","margem","faixa","piso","alvo","limite","resultado","estoque","pricing_group_id","garantia_origem","garantia_prazo","garantia_unidade","timestamp"
"VTK002091","MLB5193194293","PUBLICADO_VALIDADO","169.63","0.07769852030890763","BELOW_200","0.05","0.07","0.1","13.18","9","item:MLB5193194293","GARANTIA_FORNECEDOR","90","dias","2026-09-06T05:29:55.893161+00:00"
"VTK018523","MLB7595130266","PUBLICADO_VALIDADO","286.47","0.09477432191852549","FROM_200_TO_1000","0.07","0.1","0.15","27.15","7","item:MLB7595130266","GARANTIA_FORNECEDOR","90","dias","2026-09-06T05:38:51.113433+00:00"
