ml_order_id,lucro_anterior,lucro_recalculado,status,custo,tarifa,frete,tributo,motivos
2000018304422954,0,7.46,estimated,24.72,7.45,9.15,4.41,CUSTOS_VARIAVEIS_NAO_INFORMADOS;TRIBUTO_ESTIMADO
2000018305512122,0,59.65,estimated,614.03,171.44,107.85,86.03,CUSTOS_VARIAVEIS_NAO_INFORMADOS;TRIBUTO_ESTIMADO
2000018301138698,0,2.01,estimated,33.9,10.78,8.25,4.96,CUSTOS_VARIAVEIS_NAO_INFORMADOS;TRIBUTO_ESTIMADO
2000018306225848,0,2.27,estimated,14.45,4.26,12.95,3.07,CUSTOS_VARIAVEIS_NAO_INFORMADOS;TRIBUTO_ESTIMADO
2000018301030896,0,5.75,estimated,37.5,14.24,15.05,6.55,CUSTOS_VARIAVEIS_NAO_INFORMADOS;TRIBUTO_ESTIMADO
